,image1,image2,similarity
0,../input/siim-covid19-detection/train/00f9e183938e/081e92373dc6/6534a837497d.dcm,../input/siim-covid19-detection/train/00f9e183938e/89bad86310f9/74077a8e3b7c.dcm,0.99609375
1,../input/siim-covid19-detection/train/0369e0385796/55e0767feb0a/9e4824fcee2e.dcm,../input/siim-covid19-detection/train/0369e0385796/ef9422f0bb26/ea2117b53323.dcm,1.0
2,../input/siim-covid19-detection/train/066b12d875eb/0009ce62e128/19fc87ff0612.dcm,../input/siim-covid19-detection/train/066b12d875eb/b301613e7997/eea3a910fa9e.dcm,0.9765625
3,../input/siim-covid19-detection/train/0b1671929731/53cda22dd0e5/1ea01196514a.dcm,../input/siim-covid19-detection/train/0b1671929731/5a31b5b2bc7c/961e67cadcdc.dcm,1.0
4,../input/siim-covid19-detection/train/0d33fb757a01/4ae25d0cf04f/70fbcd6dcc53.dcm,../input/siim-covid19-detection/train/0d33fb757a01/582c8a4738a7/9b1de1c45491.dcm,1.0
5,../input/siim-covid19-detection/train/0d43ab1d2f50/3ebaddd1c244/6494a03199e5.dcm,../input/siim-covid19-detection/train/0d43ab1d2f50/c5d5a2c3cdf8/3b6ad60071d4.dcm,1.0
6,../input/siim-covid19-detection/train/0d962bb4c9f2/4ed4542d49b8/b61f3493c551.dcm,../input/siim-covid19-detection/train/0d962bb4c9f2/d15a5195862e/089bd77c8c10.dcm,1.0
7,../input/siim-covid19-detection/train/0d9709b3af74/094a086f0e1b/0842f032a217.dcm,../input/siim-covid19-detection/train/0d9709b3af74/4e7268348ca6/830063223a31.dcm,1.0
8,../input/siim-covid19-detection/train/0d9709b3af74/094a086f0e1b/0842f032a217.dcm,../input/siim-covid19-detection/train/0d9709b3af74/8a562374d8d6/efc93a3917b6.dcm,1.0
9,../input/siim-covid19-detection/train/0d9709b3af74/4e7268348ca6/830063223a31.dcm,../input/siim-covid19-detection/train/0d9709b3af74/8a562374d8d6/efc93a3917b6.dcm,1.0
10,../input/siim-covid19-detection/train/0fd2db233deb/01050ddc661b/c6e92e59a0ae.dcm,../input/siim-covid19-detection/train/0fd2db233deb/06feab2c43b9/05c063f5cef5.dcm,1.0
11,../input/siim-covid19-detection/train/0fd2db233deb/01050ddc661b/c6e92e59a0ae.dcm,../input/siim-covid19-detection/train/0fd2db233deb/2019d0f0cd58/b121806162c3.dcm,1.0
12,../input/siim-covid19-detection/train/0fd2db233deb/01050ddc661b/c6e92e59a0ae.dcm,../input/siim-covid19-detection/train/0fd2db233deb/6986b53f6431/4c414b793562.dcm,1.0
13,../input/siim-covid19-detection/train/0fd2db233deb/01050ddc661b/c6e92e59a0ae.dcm,../input/siim-covid19-detection/train/0fd2db233deb/9025f953c3d2/26f643772090.dcm,1.0
14,../input/siim-covid19-detection/train/0fd2db233deb/01050ddc661b/c6e92e59a0ae.dcm,../input/siim-covid19-detection/train/0fd2db233deb/a4fec64f5b97/156cb1f5c689.dcm,1.0
15,../input/siim-covid19-detection/train/0fd2db233deb/01050ddc661b/c6e92e59a0ae.dcm,../input/siim-covid19-detection/train/0fd2db233deb/ad6876d5e56a/bee62c601ae9.dcm,1.0
16,../input/siim-covid19-detection/train/0fd2db233deb/01050ddc661b/c6e92e59a0ae.dcm,../input/siim-covid19-detection/train/0fd2db233deb/b8c20a915593/a5a364383f34.dcm,1.0
17,../input/siim-covid19-detection/train/0fd2db233deb/01050ddc661b/c6e92e59a0ae.dcm,../input/siim-covid19-detection/train/0fd2db233deb/f759743147f8/04cc2f7f4c4b.dcm,1.0
18,../input/siim-covid19-detection/train/0fd2db233deb/06feab2c43b9/05c063f5cef5.dcm,../input/siim-covid19-detection/train/0fd2db233deb/2019d0f0cd58/b121806162c3.dcm,1.0
19,../input/siim-covid19-detection/train/0fd2db233deb/06feab2c43b9/05c063f5cef5.dcm,../input/siim-covid19-detection/train/0fd2db233deb/6986b53f6431/4c414b793562.dcm,1.0
20,../input/siim-covid19-detection/train/0fd2db233deb/06feab2c43b9/05c063f5cef5.dcm,../input/siim-covid19-detection/train/0fd2db233deb/9025f953c3d2/26f643772090.dcm,1.0
21,../input/siim-covid19-detection/train/0fd2db233deb/06feab2c43b9/05c063f5cef5.dcm,../input/siim-covid19-detection/train/0fd2db233deb/a4fec64f5b97/156cb1f5c689.dcm,1.0
22,../input/siim-covid19-detection/train/0fd2db233deb/06feab2c43b9/05c063f5cef5.dcm,../input/siim-covid19-detection/train/0fd2db233deb/ad6876d5e56a/bee62c601ae9.dcm,1.0
23,../input/siim-covid19-detection/train/0fd2db233deb/06feab2c43b9/05c063f5cef5.dcm,../input/siim-covid19-detection/train/0fd2db233deb/b8c20a915593/a5a364383f34.dcm,1.0
24,../input/siim-covid19-detection/train/0fd2db233deb/06feab2c43b9/05c063f5cef5.dcm,../input/siim-covid19-detection/train/0fd2db233deb/f759743147f8/04cc2f7f4c4b.dcm,1.0
25,../input/siim-covid19-detection/train/0fd2db233deb/2019d0f0cd58/b121806162c3.dcm,../input/siim-covid19-detection/train/0fd2db233deb/6986b53f6431/4c414b793562.dcm,1.0
26,../input/siim-covid19-detection/train/0fd2db233deb/2019d0f0cd58/b121806162c3.dcm,../input/siim-covid19-detection/train/0fd2db233deb/9025f953c3d2/26f643772090.dcm,1.0
27,../input/siim-covid19-detection/train/0fd2db233deb/2019d0f0cd58/b121806162c3.dcm,../input/siim-covid19-detection/train/0fd2db233deb/a4fec64f5b97/156cb1f5c689.dcm,1.0
28,../input/siim-covid19-detection/train/0fd2db233deb/2019d0f0cd58/b121806162c3.dcm,../input/siim-covid19-detection/train/0fd2db233deb/ad6876d5e56a/bee62c601ae9.dcm,1.0
29,../input/siim-covid19-detection/train/0fd2db233deb/2019d0f0cd58/b121806162c3.dcm,../input/siim-covid19-detection/train/0fd2db233deb/b8c20a915593/a5a364383f34.dcm,1.0
30,../input/siim-covid19-detection/train/0fd2db233deb/2019d0f0cd58/b121806162c3.dcm,../input/siim-covid19-detection/train/0fd2db233deb/f759743147f8/04cc2f7f4c4b.dcm,1.0
31,../input/siim-covid19-detection/train/0fd2db233deb/6986b53f6431/4c414b793562.dcm,../input/siim-covid19-detection/train/0fd2db233deb/9025f953c3d2/26f643772090.dcm,1.0
32,../input/siim-covid19-detection/train/0fd2db233deb/6986b53f6431/4c414b793562.dcm,../input/siim-covid19-detection/train/0fd2db233deb/a4fec64f5b97/156cb1f5c689.dcm,1.0
33,../input/siim-covid19-detection/train/0fd2db233deb/6986b53f6431/4c414b793562.dcm,../input/siim-covid19-detection/train/0fd2db233deb/ad6876d5e56a/bee62c601ae9.dcm,1.0
34,../input/siim-covid19-detection/train/0fd2db233deb/6986b53f6431/4c414b793562.dcm,../input/siim-covid19-detection/train/0fd2db233deb/b8c20a915593/a5a364383f34.dcm,1.0
35,../input/siim-covid19-detection/train/0fd2db233deb/6986b53f6431/4c414b793562.dcm,../input/siim-covid19-detection/train/0fd2db233deb/f759743147f8/04cc2f7f4c4b.dcm,1.0
36,../input/siim-covid19-detection/train/0fd2db233deb/9025f953c3d2/26f643772090.dcm,../input/siim-covid19-detection/train/0fd2db233deb/a4fec64f5b97/156cb1f5c689.dcm,1.0
37,../input/siim-covid19-detection/train/0fd2db233deb/9025f953c3d2/26f643772090.dcm,../input/siim-covid19-detection/train/0fd2db233deb/ad6876d5e56a/bee62c601ae9.dcm,1.0
38,../input/siim-covid19-detection/train/0fd2db233deb/9025f953c3d2/26f643772090.dcm,../input/siim-covid19-detection/train/0fd2db233deb/b8c20a915593/a5a364383f34.dcm,1.0
39,../input/siim-covid19-detection/train/0fd2db233deb/9025f953c3d2/26f643772090.dcm,../input/siim-covid19-detection/train/0fd2db233deb/f759743147f8/04cc2f7f4c4b.dcm,1.0
40,../input/siim-covid19-detection/train/0fd2db233deb/a4fec64f5b97/156cb1f5c689.dcm,../input/siim-covid19-detection/train/0fd2db233deb/ad6876d5e56a/bee62c601ae9.dcm,1.0
41,../input/siim-covid19-detection/train/0fd2db233deb/a4fec64f5b97/156cb1f5c689.dcm,../input/siim-covid19-detection/train/0fd2db233deb/b8c20a915593/a5a364383f34.dcm,1.0
42,../input/siim-covid19-detection/train/0fd2db233deb/a4fec64f5b97/156cb1f5c689.dcm,../input/siim-covid19-detection/train/0fd2db233deb/f759743147f8/04cc2f7f4c4b.dcm,1.0
43,../input/siim-covid19-detection/train/0fd2db233deb/ad6876d5e56a/bee62c601ae9.dcm,../input/siim-covid19-detection/train/0fd2db233deb/b8c20a915593/a5a364383f34.dcm,1.0
44,../input/siim-covid19-detection/train/0fd2db233deb/ad6876d5e56a/bee62c601ae9.dcm,../input/siim-covid19-detection/train/0fd2db233deb/f759743147f8/04cc2f7f4c4b.dcm,1.0
45,../input/siim-covid19-detection/train/0fd2db233deb/b8c20a915593/a5a364383f34.dcm,../input/siim-covid19-detection/train/0fd2db233deb/f759743147f8/04cc2f7f4c4b.dcm,1.0
46,../input/siim-covid19-detection/train/10e35f64fc16/118ae8a5b368/c8156ae4d6e8.dcm,../input/siim-covid19-detection/train/cbe5d39a75bd/f178017d0eb6/7b7275d670e7.dcm,1.0
47,../input/siim-covid19-detection/train/172e2caf0eb4/8945cb788306/93979c3e3177.dcm,../input/siim-covid19-detection/train/172e2caf0eb4/af28f8e6a9e5/72cf260ddf4c.dcm,1.0
48,../input/siim-covid19-detection/train/1a58b43cf286/461096d084ba/00c1515729a8.dcm,../input/siim-covid19-detection/train/c5ae5513399f/da0f93aa488f/9e844dea386a.dcm,1.0
49,../input/siim-covid19-detection/train/1af41c4cbf5d/042871b4b50b/b4b931e5ad31.dcm,../input/siim-covid19-detection/train/1af41c4cbf5d/4ce4db6c19d0/6ff218d10741.dcm,1.0
50,../input/siim-covid19-detection/train/1e96d5eb4c91/703a9f4c4ffb/7f1924880cf8.dcm,../input/siim-covid19-detection/train/1e96d5eb4c91/72474b522965/bb3076795a01.dcm,1.0
51,../input/siim-covid19-detection/train/21b8491fb0e0/d5832b266b40/32222cc776a2.dcm,../input/siim-covid19-detection/train/21b8491fb0e0/d5832b266b40/99f3642f50f5.dcm,1.0
52,../input/siim-covid19-detection/train/21b8491fb0e0/d5832b266b40/32222cc776a2.dcm,../input/siim-covid19-detection/train/21b8491fb0e0/d5832b266b40/b6b74c8a97e4.dcm,1.0
53,../input/siim-covid19-detection/train/21b8491fb0e0/d5832b266b40/99f3642f50f5.dcm,../input/siim-covid19-detection/train/21b8491fb0e0/d5832b266b40/b6b74c8a97e4.dcm,1.0
54,../input/siim-covid19-detection/train/2651f80c25b1/58d1b42614ee/d180fed57716.dcm,../input/siim-covid19-detection/train/2651f80c25b1/72b51160b999/12e97ed89297.dcm,1.0
55,../input/siim-covid19-detection/train/29b7fce85c4c/0c02457e1a74/c05a1da5efe0.dcm,../input/siim-covid19-detection/train/29b7fce85c4c/5f5f739da329/ab55abb953d1.dcm,1.0
